Series_ID,Race_ID,Race_Date,Race_Name,Year,Golden_Ticket,WS_Year
50001,16,1/9/2016,Bandera,2016,TRUE,2016
50487,27160,4/9/2016,Lake Sonoma 50M,2016,TRUE,2016
29758,33769,2/6/2016,Sean O'Brien 100K,2016,TRUE,2016
45236,34211,3/19/2016,Georgia Death Race,2016,TRUE,2016
74589,91882,4/2/2016,Gorge Waterfalls 100K,2016,TRUE,2016
50001,17,1/7/2017,Bandera,2017,TRUE,2017
50487,35675,4/15/2017,Lake Sonoma 50M,2017,TRUE,2017
29758,38282,2/4/2017,Sean O'Brien 100K,2017,TRUE,2017
50001,24,,Bandera,2024,FALSE,
50001,25,,Bandera,2025,FALSE,
12057,12159,,Javelina,2011,FALSE,
142,14217,,UTMB,2017,FALSE,
142,14218,,UTMB,2018,FALSE,
142,14219,,UTMB,2019,FALSE,
45236,38292,4/1/2017,Georgia Death Race,2017,TRUE,2017
74589,91883,4/8/2017,Gorge Waterfalls 100K,2017,TRUE,2017
142,14223,,UTMB,2023,FALSE,
142,14224,,UTMB,2024,FALSE,
142,14225,,UTMB,2025,FALSE,
12057,15839,,Javelina,2012,FALSE,
17002,17746,,Western States,2013,FALSE,
12057,19185,,Javelina,2013,FALSE,
50001,18,1/6/2018,Bandera,2018,TRUE,2018
10254,24355,,Black Canyon,2014,FALSE,
32444,24444,,Nice Cote d Azur,2024,FALSE,
17002,24962,,Western States,2014,FALSE,
50487,43685,4/14/2018,Lake Sonoma 50M,2018,TRUE,2018
29758,46885,2/3/2018,Sean O'Brien 100K,2018,TRUE,2018
32444,25444,,Nice Cote d Azur,2025,FALSE,
25273,25473,,Doi Inthanon,2024,FALSE,
10254,48278,2/17/2018,Black Canyon,2018,TRUE,2018
12057,27560,,Javelina,2014,FALSE,
10254,29244,,Black Canyon,2015,FALSE,
17002,30033,,Western States,2015,FALSE,
12057,31274,,Javelina,2015,FALSE,
45236,48295,3/31/2018,Georgia Death Race,2018,TRUE,2018
10254,34087,2/13/2016,Black Canyon,2016,TRUE,2016
50001,19,1/5/2019,Bandera,2019,TRUE,2019
17002,34773,6/25/2016,Western States,2016,FALSE,
12057,35377,,Javelina,2016,FALSE,
3753,37539,4/27/2019,The Canyons,2019,TRUE,2019
45236,56933,3/30/2019,Georgia Death Race,2019,TRUE,2019
37038,37438,,Grindstone,2024,FALSE,
37038,37538,,Grindstone,2025,FALSE,
3753,37538,,The Canyons,2018,FALSE,
50487,57573,4/13/2019,Lake Sonoma 50M,2019,TRUE,2019
3753,37539,,The Canyons,2019,FALSE,
10254,57827,2/16/2019,Black Canyon,2019,TRUE,2019
50001,20,1/11/2020,Bandera,2020,TRUE,2021
50001,21,1/9/2021,Bandera,2021,TRUE,2021
3753,37541,4/24/2021,The Canyons,2021,TRUE,2021
10254,67039,2/15/2020,Black Canyon,2020,TRUE,2021
10254,77199,2/13/2021,Black Canyon,2021,TRUE,2021
10254,38965,2/18/2017,Black Canyon,2017,TRUE,2017
17002,41765,6/24/2017,Western States,2017,FALSE,
50001,22,1/8/2022,Bandera,2022,TRUE,2022
12057,43813,,Javelina,2017,FALSE,
142,14221,8/27/2021,UTMB,2021,TRUE,2022
3753,37542,4/23/2022,The Canyons,2022,TRUE,2022
623,62321,10/22/2021,Festival Des Templiers,2021,TRUE,2022
17002,51243,6/23/2018,Western States,2018,FALSE,
12057,53326,,Javelina,2018,FALSE,
12057,81876,10/30/2021,Javelina,2021,TRUE,2022
10254,84317,2/13/2022,Black Canyon,2022,TRUE,2022
50001,23,1/7/2023,Bandera,2023,TRUE,2023
17002,61359,6/29/2019,Western States,2019,FALSE,
142,14222,8/26/2022,UTMB,2022,TRUE,2023
623,62322,,Festival Des Templiers,2022,FALSE,
623,62323,,Festival Des Templiers,2023,FALSE,
623,62324,,Festival Des Templiers,2024,FALSE,
623,62325,,Festival Des Templiers,2025,FALSE,
12057,63015,,Javelina,2019,FALSE,
25273,25073,12/9/2022,Doi Inthanon,2022,TRUE,2023
3753,37543,4/28/2023,The Canyons,2023,TRUE,2023
12057,74613,,Javelina,2020,FALSE,
895,89523,2/11/2023,Tarawera,2023,TRUE,2023
17002,79446,6/26/2021,Western States,2021,FALSE,
12057,90708,10/29/2022,Javelina,2022,TRUE,2023
10254,93392,2/18/2023,Black Canyon,2023,TRUE,2023
17002,87878,6/25/2022,Western States,2022,FALSE,
895,89520,,Tarawera,2020,FALSE,
895,89521,,Tarawera,2021,FALSE,
32444,23444,9/30/2023,Nice Cote d Azur,2023,TRUE,2024
895,89524,,Tarawera,2024,FALSE,
25273,25373,12/8/2023,Doi Inthanon,2023,TRUE,2024
37038,37338,9/23/2023,Grindstone,2023,TRUE,2024
3753,37544,4/27/2024,The Canyons,2024,TRUE,2024
12057,99186,10/28/2023,Javelina,2023,TRUE,2024
10254,104108,2/10/2024,Black Canyon,2024,TRUE,2024
17002,97204,6/24/2023,Western States,2023,FALSE,
141,141023,9/1/2023,CCC,2023,TRUE,2024
3753,73545,4/26/2025,The Canyons,2025,TRUE,2025
17002,108752,6/29/2024,Western States,2024,FALSE,
895,89525,2/15/2025,Tarawera,2025,TRUE,2025
12057,112165,10/26/2024,Javelina,2024,TRUE,2025
17002,119682,6/28/2025,Western States,2025,FALSE,
12057,122877,,Javelina,2025,FALSE,
29669,126001,,Chianti (UTCC),2024,FALSE,
10254,115592,2/8/2025,Black Canyon,2025,TRUE,2025
141,141017,,CCC,2017,FALSE,
141,141018,,CCC,2018,FALSE,
141,141019,,CCC,2019,FALSE,
141,141021,,CCC,2021,FALSE,
141,141022,,CCC,2022,FALSE,
29669,126002,3/22/2025,Chianti (UTCC),2025,TRUE,2025
141,141024,8/30/2024,CCC,2024,TRUE,2025
141,141025,,CCC,2025,FALSE,
