diff_index,gt_race_name,gt_normalized_name,gt_gender,gt_gender_rank,gt_time,placement_change,ws_date,ws_year,ws_status,nationality,ws_gender_rank,age_category,ws_time
41.42,Nice Cote d Azur,jim walmsley,M,1,11:21:05,0,6/29/2024,2024,Finisher,USA,1,20-34,14:13:45
41.02,Chianti (UTCC),kilian jornet burgada,M,2,10:27:27,1,6/28/2025,2025,Finisher,NOR,3,35-39,14:19:22
50.6,The Canyons,rod farvard,M,1,8:44:30,1,6/29/2024,2024,Finisher,USA,2,20-34,14:24:15
5,Black Canyon,hayden hawks,M,1,7:30:18,2,6/29/2024,2024,Finisher,USA,3,20-34,14:24:31
31.63,Javelina,jeff mogavero,M,2,12:54:31,2,6/28/2025,2025,Finisher,USA,4,20-34,14:30:11
70.9,Grindstone,caleb olson,M,1,8:54:43,4,6/29/2024,2024,Finisher,USA,5,20-34,14:40:12
100,UTMB,tom evans,M,3,20:34:35,-2,6/24/2023,2023,Finisher,GBR,1,20-34,14:40:22
67.1,CCC,jonathan albon,M,1,10:14:25,5,6/29/2024,2024,Finisher,NOR,6,35-39,14:57:01
5,Black Canyon,seth ruhling,M,1,7:24:55,5,6/28/2025,2025,Finisher,USA,6,20-34,14:59:36
5,Black Canyon,anthony costales,M,1,7:32:50,2,6/24/2023,2023,Finisher,USA,3,20-34,15:09:16
31.63,Javelina,jonathan rea,M,1,12:43:10,8,6/29/2024,2024,Finisher,USA,9,20-34,15:13:10
50.6,The Canyons,adam peterman,M,1,8:31:57,0,6/25/2022,2022,Finisher,USA,1,20-34,15:13:48
5,Black Canyon,chris myers,M,3,7:43:02,7,6/29/2024,2024,Finisher,USA,10,20-34,15:18:25
31.63,Javelina,blake slattengren,M,2,12:58:07,9,6/29/2024,2024,Finisher,USA,11,20-34,15:18:57
35.92,Tarawera,daniel jones,M,1,7:27:55,4,6/24/2023,2023,Finisher,NZL,5,20-34,15:22:15
25.35,Bandera,courtney dauwalter,F,1,8:59:37,0,6/24/2023,2023,Finisher,USA,1,35-39,15:29:33
91.8,Doi Inthanon,ji duo,M,1,23:58:49,11,6/29/2024,2024,Finisher,CHN,12,20-34,15:35:30
100,UTMB,mathieu blanchard,M,2,19:54:50,4,6/24/2023,2023,Finisher,FRA,6,35-39,15:37:02
35.92,Tarawera,ryan montgomery,M,3,8:11:21,4,6/24/2023,2023,Finisher,USA,7,20-34,15:38:35
25.35,Bandera,jeffrey colt,M,1,8:23:54,7,6/24/2023,2023,Finisher,USA,8,20-34,15:42:09
50.6,The Canyons,ryan montgomery,M,5,8:45:13,2,6/28/2025,2025,Finisher,USA,7,20-34,15:54:29
50.6,The Canyons,cole watson,M,1,8:34:38,8,6/24/2023,2023,Finisher,USA,9,20-34,15:54:36
31.63,Javelina,arlen glick,M,1,13:14:51,2,6/25/2022,2022,Finisher,USA,3,20-34,15:56:17
50.6,The Canyons,hans troyer,M,2,8:27:00,6,6/28/2025,2025,Finisher,USA,8,20-34,16:06:52
5,Black Canyon,janosch kowalczyk,M,3,7:40:00,7,6/24/2023,2023,Finisher,DEU,10,20-34,16:09:19
67.1,CCC,peter frano,M,2,10:27:17,7,6/28/2025,2025,Finisher,SVK,9,20-34,16:10:44
100,UTMB,ludovic pommeret,M,4,21:38:44,2,6/25/2022,2022,Finisher,FRA,6,45-49,16:20:02
50.6,The Canyons,petter engdahl,M,3,8:55:31,10,6/29/2024,2024,Finisher,NOR,13,20-34,16:22:36
35.92,Tarawera,hiroki kai,M,2,7:48:45,8,6/28/2025,2025,Finisher,JPN,10,20-34,16:22:46
52.89,Festival Des Templiers,vincent viet,M,1,10:52:25,6,6/25/2022,2022,Finisher,FRA,7,35-39,16:28:22
5,Black Canyon,scott traer,M,2,8:03:07,8,6/25/2022,2022,Finisher,USA,10,40-44,16:35:23
5,Black Canyon,abby hall,F,5,8:52:35,-4,6/28/2025,2025,Finisher,USA,1,20-34,16:37:16
31.63,Javelina,jonathan rea,M,2,13:05:58,12,6/24/2023,2023,Finisher,USA,14,20-34,16:38:33
100,UTMB,katie schide,F,1,23:15:12,1,6/24/2023,2023,Finisher,USA,2,20-34,16:43:45
67.1,CCC,yngvild kaspersen,F,1,11:51:22,4,6/29/2024,2024,Finisher,NOR,5,20-34,16:50:39
50.6,The Canyons,marianne hogan,F,2,9:50:44,1,6/28/2025,2025,Finisher,CAN,3,35-39,16:50:58
5,Black Canyon,jeffrey colt,M,3,8:05:14,8,6/25/2022,2022,Finisher,USA,11,20-34,16:51:53
50.6,The Canyons,hannes namberger,M,3,8:32:17,8,6/28/2025,2025,Finisher,DEU,11,35-39,16:59:33
31.63,Javelina,dakota jones,M,1,12:58:02,16,6/24/2023,2023,Finisher,USA,17,20-34,17:00:38
41.42,Nice Cote d Azur,simon gosselin,M,2,11:46:29,14,6/29/2024,2024,Finisher,FRA,16,20-34,17:04:13
100,UTMB,eszter csillag,F,5,26:32:39,-2,6/24/2023,2023,Finisher,HUN,3,35-39,17:07:55
5,Black Canyon,jupiter carera casas,M,2,7:39:56,15,6/29/2024,2024,Finisher,MEX,17,20-34,17:14:05
25.35,Bandera,jp giblin,M,2,8:29:08,16,6/24/2023,2023,Finisher,USA,18,20-34,17:15:02
31.63,Javelina,heather jackson,F,1,14:24:47,6,6/29/2024,2024,Finisher,USA,7,40-44,17:16:43
41.02,Chianti (UTCC),fiona pascall,F,1,12:34:59,4,6/28/2025,2025,Finisher,GBR,5,35-39,17:21:52
91.8,Doi Inthanon,canhua luo,M,2,22:11:49,17,6/24/2023,2023,Finisher,CHN,19,20-34,17:23:14
67.1,CCC,hau ha,F,4,12:36:16,2,6/28/2025,2025,Finisher,VNM,6,35-39,17:23:47
5,Black Canyon,rachel drake,F,1,8:47:23,7,6/29/2024,2024,Finisher,USA,8,20-34,17:28:35
31.63,Javelina,hannah allgood,F,2,14:38:30,5,6/28/2025,2025,Finisher,USA,7,20-34,17:39:02
67.1,CCC,dakota jones,M,3,10:41:40,15,6/29/2024,2024,Finisher,USA,18,20-34,17:41:07
50.6,The Canyons,ida nilsson,F,1,9:51:07,6,6/24/2023,2023,Finisher,SWE,7,40-44,17:43:34
50.6,The Canyons,priscilla forgie,F,2,10:00:20,6,6/24/2023,2023,Finisher,CAN,8,20-34,17:46:34
35.92,Tarawera,caitlin fielder,F,2,8:30:45,6,6/28/2025,2025,Finisher,AND,8,20-34,17:47:26
50.6,The Canyons,anna louden,F,3,10:24:37,8,6/29/2024,2024,Finisher,USA,11,20-34,17:53:10
50.6,The Canyons,keely henninger,F,3,9:58:10,6,6/28/2025,2025,Finisher,USA,9,20-34,17:57:24
5,Black Canyon,joe mcconaughy,M,3,7:31:37,11,6/28/2025,2025,Finisher,USA,14,20-34,18:02:34
25.35,Bandera,marianne hogan,F,1,9:17:06,2,6/25/2022,2022,Finisher,CAN,3,20-34,18:05:48
5,Black Canyon,meghan morgan,F,3,8:53:52,7,6/24/2023,2023,Finisher,USA,10,20-34,18:11:32
50.6,The Canyons,adam merry,M,2,8:50:40,18,6/24/2023,2023,Finisher,USA,20,20-34,18:28:35
50.6,The Canyons,leah yingling,F,2,10:24:50,4,6/25/2022,2022,Finisher,USA,6,20-34,18:32:31
67.1,CCC,emily schmitz,F,5,12:42:24,7,6/29/2024,2024,Finisher,USA,12,40-44,18:39:55
5,Black Canyon,taylor nowlin,F,4,9:44:14,3,6/25/2022,2022,Finisher,USA,7,20-34,18:46:42
91.8,Doi Inthanon,jenny quilty,F,1,27:24:14,10,6/24/2023,2023,Finisher,CAN,11,20-34,18:49:13
31.63,Javelina,camille herron,F,1,14:03:23,7,6/25/2022,2022,Finisher,USA,8,40-44,18:51:54
25.35,Bandera,jonathan rea,M,1,8:10:00,15,6/25/2022,2022,Finisher,USA,16,20-34,18:52:20
50.6,The Canyons,erin clark,F,4,9:59:05,7,6/28/2025,2025,Finisher,USA,11,20-34,18:52:22
5,Black Canyon,lauren puretz,F,3,9:06:58,10,6/29/2024,2024,Finisher,USA,13,40-44,18:52:25
70.9,Grindstone,lotti brinks,F,1,10:37:25,13,6/29/2024,2024,Finisher,USA,14,20-34,18:53:39
50.6,The Canyons,careth arnold,F,4,10:38:42,10,6/29/2024,2024,Finisher,USA,14,20-34,18:53:39
70.9,Grindstone,caleb bowen,M,2,8:59:29,21,6/29/2024,2024,Finisher,USA,23,20-34,19:02:55
91.8,Doi Inthanon,robert hajnal,M,4,26:59:48,20,6/29/2024,2024,Finisher,ROU,24,20-34,19:06:49
41.02,Chianti (UTCC),johanna antila,F,2,12:53:22,10,6/28/2025,2025,Finisher,FIN,12,45-49,19:13:16
100,UTMB,camille bruyas,F,2,24:09:42,8,6/25/2022,2022,Finisher,FRA,10,20-34,19:34:24
5,Black Canyon,becca windell,F,2,8:52:46,14,6/29/2024,2024,Finisher,USA,16,35-39,19:38:41
5,Black Canyon,anne-marie madden,F,3,9:23:52,8,6/25/2022,2022,Finisher,CAN,11,40-44,19:38:44
25.35,Bandera,tyler fox,M,2,8:14:53,17,6/25/2022,2022,Finisher,USA,19,20-34,19:49:07
35.92,Tarawera,stephanie auston,F,2,9:27:29,11,6/24/2023,2023,Finisher,AUS,13,20-34,19:58:08
35.92,Tarawera,adrian macdonald,M,3,7:51:05,19,6/28/2025,2025,Finisher,USA,22,35-39,20:14:25
35.92,Tarawera,nancy jiang,F,5,9:10:13,9,6/28/2025,2025,Finisher,NZL,14,20-34,20:17:24
50.6,The Canyons,aroa sio seijo,F,3,10:27:41,9,6/25/2022,2022,Finisher,ESP,12,40-44,20:18:27
41.42,Nice Cote d Azur,giulia vinco,F,3,15:28:58,16,6/29/2024,2024,Finisher,ITA,19,20-34,20:46:40
31.63,Javelina,riley brady,F,2,14:45:43,12,6/24/2023,2023,Finisher,USA,14,20-34,20:59:02
25.35,Bandera,ellie pell,F,2,9:49:12,12,6/25/2022,2022,Finisher,USA,14,20-34,21:37:12
31.63,Javelina,ragna debats,F,2,14:55:27,19,6/29/2024,2024,Finisher,ESP,21,45-49,22:00:58
31.63,Javelina,brittany peterson,F,2,15:47:23,14,6/25/2022,2022,Finisher,USA,16,35-39,22:16:07
5,Black Canyon,dominika stelmach,F,2,9:10:52,15,6/25/2022,2022,Finisher,POL,17,40-44,22:21:55
50.6,The Canyons,rod farvard,M,4,9:16:21,37,6/25/2022,2022,Finisher,USA,41,20-34,22:48:51
67.1,CCC,adam peterman,M,3,10:28:50,46,6/28/2025,2025,Finisher,USA,49,20-34,23:09:29
91.8,Doi Inthanon,wenfei xie,F,2,28:22:13,20,6/24/2023,2023,Finisher,CHN,22,40-44,23:46:39
35.92,Tarawera,nancy jiang,F,1,9:26:08,22,6/24/2023,2023,Finisher,NZL,23,20-34,23:57:22
52.89,Festival Des Templiers,anne-lise le quere,F,2,12:53:51,35,6/25/2022,2022,Finisher,FRA,37,20-34,27:31:14
50.6,The Canyons,jared hazen,M,3,8:47:33,-3,6/25/2022,2022,DNF,USA,,20-34,
5,Black Canyon,keely henninger,F,1,8:45:30,-1,6/24/2023,2023,DNF,USA,,20-34,
91.8,Doi Inthanon,jiaju zhao,M,1,21:53:49,-1,6/24/2023,2023,DNF,CHN,,20-34,
25.35,Bandera,nicole bitter,F,2,10:04:03,-2,6/24/2023,2023,DNF,USA,,40-44,
41.42,Nice Cote d Azur,eleanor davis,F,1,13:49:20,-1,6/29/2024,2024,DNF,GBR,,35-39,
91.8,Doi Inthanon,lin chen,F,1,30:05:15,-1,6/29/2024,2024,DNF,CHN,,20-34,
91.8,Doi Inthanon,anna li,F,2,30:11:14,-2,6/29/2024,2024,DNF,CHN,,20-34,
67.1,CCC,martyna mlynarczyk,F,2,12:11:12,-2,6/28/2025,2025,DNF,POL,,35-39,
67.1,CCC,rosanna buchauer,F,3,12:16:55,-3,6/28/2025,2025,DNF,DEU,,35-39,
31.63,Javelina,david roche,M,1,12:45:04,-1,6/28/2025,2025,DNF,USA,,35-39,
31.63,Javelina,riley brady,F,1,14:19:01,-1,6/28/2025,2025,DNF,USA,,20-34,
5,Black Canyon,tara dower,F,2,8:25:08,-2,6/28/2025,2025,DNF,USA,,20-34,
41.02,Chianti (UTCC),vincent bouillard,M,3,10:27:57,-3,6/28/2025,2025,DNF,FRA,,20-34,
52.89,Festival Des Templiers,aurelien collet,M,2,,,6/25/2022,2022,DNS,,,,
5,Black Canyon,trueheart brown,M,1,,,6/25/2022,2022,DNS,,,,
31.63,Javelina,ryan montgomery,M,2,,,6/25/2022,2022,DNS,,,,
50.6,The Canyons,jazmine lowther,F,1,,,6/25/2022,2022,DNS,,,,
31.63,Javelina,devon yanko,F,1,,,6/24/2023,2023,DNS,,,,
70.9,Grindstone,devon yanko,F,2,,,6/29/2024,2024,DNS,,,,
5,Black Canyon,will murray,M,2,,,6/28/2025,2025,DNS,,,,
5,Black Canyon,lin chen,F,4,,,6/28/2025,2025,DNS,,,,
67.1,CCC,huohua zhang,M,5,,,6/28/2025,2025,DNS,,,,
